Epoch,Train Loss,Train Accuracy,Train Recall,Train F1,Val Loss,Val Accuracy,Val Recall,Val F1
1,0.13858489640684143,95.8,0.9576838333493221,0.9577045807488863,0.06571743937526295,97.9888888888889,0.9794873805962396,0.9795799048524174
2,0.04226613565846161,98.67333333333333,0.9866126653097208,0.9866340326146694,0.050293256272726974,98.41111111111111,0.9842596854036442,0.9839056992392792
3,0.023757605527903666,99.16888888888889,0.9916304791056214,0.9916383803419715,0.06709724421165421,98.28888888888889,0.9827679279305247,0.9825549110974554
4,0.01706906869362063,99.45111111111112,0.9944814296273925,0.9944959047839268,0.06198573020139894,98.17777777777778,0.9815421831077403,0.9815956293435655
5,0.012703895580960472,99.56666666666666,0.9956409861305204,0.9956375162057485,0.04982151038670608,98.67777777777778,0.986581410315401,0.9867051915369291
6,0.0030467577889536105,99.91333333333333,0.9991289791757636,0.9991321159145474,0.047229851334638966,98.87777777777778,0.9886045976839866,0.9886447762190167
7,0.0010965102616066506,99.99111111111111,0.9999163172110312,0.9999155761243929,0.04934759922374118,98.87777777777778,0.9886051913608531,0.9886625292219191
8,0.0006573323929153219,99.99555555555555,0.9999560076257961,0.9999573536119355,0.049802755453954704,98.88888888888889,0.9886887638392443,0.9887620400322465
9,0.00040503085203685336,99.99777777777777,0.9999774622492674,0.9999780036935082,0.05234222980732687,98.9,0.9888207870130794,0.9888808639299427
10,0.00026150179842425334,100.0,1.0,1.0,0.054240095666223204,98.9,0.9888087735744102,0.9888812789205759
